6/3/2020 | 13/12/54 | Igrac: V01D | IP: 192.168.1.2 
22/10/2020 | 19/21/17 | Igrac: tkd | IP: 95.168.120.210 
22/10/2020 | 19/27/6 | Igrac: Funzy_Trb | IP: 93.87.111.135 
22/10/2020 | 19/29/28 | Igrac: El_Profesor | IP: 79.140.150.225 
22/10/2020 | 19/29/44 | Igrac: ZIFT_BREEEE | IP: 178.149.119.52 
22/10/2020 | 19/31/16 | Igrac: Zlaja | IP: 31.176.237.46 
22/10/2020 | 19/31/51 | Igrac: Zlatan_Music | IP: 31.176.237.46 
22/10/2020 | 19/34/42 | Igrac: El_Profesor | IP: 79.140.150.225 
22/10/2020 | 19/35/54 | Igrac: ZIFT_BREEEE | IP: 178.149.119.52 
22/10/2020 | 19/36/33 | Igrac: funzy | IP: 93.87.111.135 
22/10/2020 | 19/39/20 | Igrac: Zift | IP: 178.149.119.52 
22/10/2020 | 20/3/50 | Igrac: tkd | IP: 95.168.120.210 
22/10/2020 | 20/7/29 | Igrac: Jakovljevic_Don | IP: 185.37.27.125 
22/10/2020 | 20/8/30 | Igrac: JakovljeviK_don | IP: 185.37.27.125 
22/10/2020 | 20/11/23 | Igrac: Fredy_Wiliams | IP: 62.113.1.116 
22/10/2020 | 20/34/42 | Igrac: Moskri_Peconi | IP: 82.149.12.35 
22/10/2020 | 20/34/59 | Igrac: Twistzz_Sarrabuzzi | IP: 178.220.205.188 
22/10/2020 | 20/36/0 | Igrac: Muhamed_Alispahic | IP: 213.91.69.6 
22/10/2020 | 20/53/39 | Igrac: Simec_Wells | IP: 178.223.161.174 
22/10/2020 | 20/54/33 | Igrac: Moskri | IP: 82.149.12.35 
22/10/2020 | 21/35/53 | Igrac: Simec_Wells | IP: 178.223.161.174 
22/10/2020 | 21/47/32 | Igrac: Ceta_Pawno | IP: 31.176.131.82 
22/10/2020 | 22/11/2 | Igrac: Marko_Smolovic | IP: 79.101.204.53 
23/10/2020 | 11/28/40 | Igrac: Mateja_Brown | IP: 24.135.224.242 
23/10/2020 | 14/5/32 | Igrac: Shile_Wagger | IP: 178.209.10.249 
23/10/2020 | 14/6/51 | Igrac: ramoxshaolin | IP: 62.4.55.89 
23/10/2020 | 14/8/6 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 14/13/37 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 14/24/11 | Igrac: Shile_Wagger | IP: 178.209.10.249 
23/10/2020 | 14/30/2 | Igrac: Shile_Wagger | IP: 178.209.10.249 
23/10/2020 | 14/49/40 | Igrac: Sasa_Ilic | IP: 95.91.223.89 
23/10/2020 | 15/0/2 | Igrac: Simec_Wells | IP: 178.223.161.174 
23/10/2020 | 15/15/58 | Igrac: Twistzz_Sarrabuzzi | IP: 178.220.205.188 
23/10/2020 | 15/24/24 | Igrac: tkd | IP: 31.217.24.41 
23/10/2020 | 15/25/45 | Igrac: tkd | IP: 31.217.24.41 
23/10/2020 | 15/58/41 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 16/4/14 | Igrac: Xavi | IP: 37.220.64.119 
23/10/2020 | 16/5/49 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 16/49/30 | Igrac: Shile_Wagger | IP: 178.209.10.249 
23/10/2020 | 17/10/48 | Igrac: Shile_Wagger | IP: 178.209.10.249 
23/10/2020 | 18/13/41 | Igrac: Mateja_Brown | IP: 24.135.224.242 
23/10/2020 | 18/43/56 | Igrac: Lukica_Benzin | IP: 109.245.33.48 
23/10/2020 | 18/47/52 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
23/10/2020 | 19/40/5 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
23/10/2020 | 19/51/21 | Igrac: Lazojka_Donn | IP: 178.221.198.114 
23/10/2020 | 19/52/58 | Igrac: Sasa_Ilic | IP: 95.91.223.89 
23/10/2020 | 19/53/5 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 19/53/6 | Igrac: JJakovljevic_Don | IP: 77.243.29.163 
23/10/2020 | 19/54/58 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
23/10/2020 | 19/59/14 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/1/35 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 20/3/5 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/5/30 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/8/40 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 20/8/44 | Igrac: El_Profesor | IP: 79.140.150.225 
23/10/2020 | 20/8/46 | Igrac: Damir_Malka | IP: 46.223.162.25 
23/10/2020 | 20/11/17 | Igrac: Christian_Grey | IP: 77.77.222.218 
23/10/2020 | 20/22/54 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/25/52 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/28/19 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/31/33 | Igrac: El_Profesor | IP: 79.140.150.225 
23/10/2020 | 20/32/57 | Igrac: El_Profesor | IP: 79.140.150.225 
23/10/2020 | 20/33/53 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/52/34 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/54/9 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 20/54/25 | Igrac: Bizze_Hodza | IP: 178.253.211.34 
23/10/2020 | 20/54/58 | Igrac: El_Profesor | IP: 79.140.150.225 
23/10/2020 | 21/0/22 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
23/10/2020 | 21/1/23 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 21/5/34 | Igrac: Sasa_Ilic | IP: 95.91.223.89 
23/10/2020 | 21/7/41 | Igrac: tkd | IP: 95.168.121.212 
23/10/2020 | 21/28/9 | Igrac: Damir_Malka | IP: 46.223.162.25 
23/10/2020 | 21/28/16 | Igrac: Zift | IP: 178.149.119.52 
23/10/2020 | 21/33/34 | Igrac: Zift | IP: 178.149.119.52 
23/10/2020 | 21/38/57 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 21/42/23 | Igrac: Zift | IP: 178.149.119.52 
23/10/2020 | 21/43/29 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 21/45/24 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 21/45/30 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 21/45/52 | Igrac: Zift | IP: 178.149.119.52 
23/10/2020 | 21/47/0 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 21/50/7 | Igrac: Lazojka_Donn | IP: 178.221.198.114 
23/10/2020 | 21/52/54 | Igrac: Damir_Malka | IP: 46.223.162.25 
23/10/2020 | 22/13/12 | Igrac: Damir_Malka | IP: 46.223.162.25 
23/10/2020 | 22/13/16 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 22/16/1 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
23/10/2020 | 22/24/36 | Igrac: Sasa_Ilic | IP: 95.91.223.89 
23/10/2020 | 22/30/16 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 22/31/7 | Igrac: Adis_Abeba | IP: 37.203.103.83 
23/10/2020 | 22/45/45 | Igrac: Marko_Smolovic | IP: 79.101.204.53 
24/10/2020 | 23/45/48 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
24/10/2020 | 23/48/49 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
24/10/2020 | 23/53/3 | Igrac: Mikri_Maus | IP: 185.10.206.251 
24/10/2020 | 23/57/59 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
24/10/2020 | 0/4/55 | Igrac: Fredy_Wiliams | IP: 62.113.25.224 
24/10/2020 | 0/10/8 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
24/10/2020 | 0/30/7 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 0/44/57 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
24/10/2020 | 0/52/16 | Igrac: Damke_Konjko | IP: 46.223.162.25 
24/10/2020 | 0/52/42 | Igrac: Ramox_Svemirko | IP: 62.4.55.89 
24/10/2020 | 1/11/43 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 1/29/36 | Igrac: El_Profesor | IP: 79.140.150.225 
24/10/2020 | 1/37/26 | Igrac: El_Profesor | IP: 79.140.150.225 
24/10/2020 | 2/10/11 | Igrac: Adis_Abeba | IP: 37.203.103.83 
24/10/2020 | 2/10/14 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 2/17/7 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 2/18/40 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 8/3/54 | Igrac: Shile_Wagger | IP: 178.209.10.249 
24/10/2020 | 8/31/0 | Igrac: Xavi | IP: 37.220.64.119 
24/10/2020 | 8/31/27 | Igrac: Moskri | IP: 82.149.12.35 
24/10/2020 | 8/32/8 | Igrac: Bandula_Ballano | IP: 185.18.60.7 
24/10/2020 | 8/32/42 | Igrac: Shile_Wagger | IP: 178.209.10.249 
24/10/2020 | 8/34/34 | Igrac: Bandula_Ballano | IP: 185.18.60.7 
24/10/2020 | 8/49/13 | Igrac: Moskri | IP: 82.149.12.35 
24/10/2020 | 8/51/55 | Igrac: tkd | IP: 95.168.121.212 
24/10/2020 | 9/30/55 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 9/39/50 | Igrac: Adis_Abeba | IP: 37.203.106.132 
24/10/2020 | 9/59/56 | Igrac: Adis_Abeba | IP: 37.203.106.132 
24/10/2020 | 10/0/51 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 10/1/25 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 10/12/13 | Igrac: Shile_Wagger | IP: 178.209.10.249 
24/10/2020 | 10/14/55 | Igrac: Moskri | IP: 82.149.12.35 
24/10/2020 | 10/17/44 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 10/20/22 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 10/52/43 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 10/54/44 | Igrac: Xavi | IP: 37.220.64.119 
24/10/2020 | 10/55/48 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
24/10/2020 | 11/0/44 | Igrac: Damir_Malka | IP: 46.223.162.25 
24/10/2020 | 11/17/40 | Igrac: Ramox_Shaolin | IP: 62.4.55.89 
24/10/2020 | 11/18/21 | Igrac: Shile_Wagger | IP: 178.209.10.249 
24/10/2020 | 11/24/34 | Igrac: Carson | IP: 77.238.206.249 
24/10/2020 | 11/26/12 | Igrac: Mekovski_Cappone | IP: 78.3.23.236 
24/10/2020 | 11/29/13 | Igrac: Adis_Abeba | IP: 37.203.106.132 
24/10/2020 | 11/30/13 | Igrac: Adis_Abeba | IP: 37.203.106.132 
24/10/2020 | 11/33/13 | Igrac: Xavi | IP: 37.220.64.119 
24/10/2020 | 11/42/25 | Igrac: Carson | IP: 77.238.206.249 
24/10/2020 | 11/43/31 | Igrac: Milos_Scope | IP: 62.4.55.248 
24/10/2020 | 11/51/27 | Igrac: Carson | IP: 77.238.206.249 
24/10/2020 | 11/51/41 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 12/8/45 | Igrac: Mateja_Brown | IP: 24.135.224.242 
24/10/2020 | 12/9/14 | Igrac: AB3BA | IP: 37.203.106.132 
24/10/2020 | 13/2/29 | Igrac: Sasa_Ilic | IP: 95.91.223.89 
24/10/2020 | 13/18/49 | Igrac: tkd | IP: 95.168.118.138 
